model,category,language,prompt_id,expected_videos,available_videos,missing_videos,status,candidate_videos_found
seedance1.5,occupation,en,8,18,18,0,complete,18
seedance1.5,occupation,en,9,18,18,0,complete,18
seedance1.5,occupation,en,10,18,18,0,complete,18
seedance1.5,occupation,zh,1,18,18,0,complete,24
seedance1.5,occupation,zh,2,18,18,0,complete,24
seedance1.5,occupation,zh,3,18,18,0,complete,23
seedance1.5,occupation,zh,4,18,18,0,complete,24
seedance1.5,occupation,zh,5,18,18,0,complete,24
seedance1.5,occupation,zh,6,18,18,0,complete,24
seedance1.5,occupation,zh,7,18,18,0,complete,24
seedance1.5,occupation,zh,8,18,18,0,complete,24
seedance1.5,occupation,zh,9,18,18,0,complete,24
seedance1.5,occupation,zh,10,18,18,0,complete,24
seedance1.5,personality,en,1,18,18,0,complete,30
seedance1.5,personality,en,2,18,18,0,complete,18
seedance1.5,personality,en,3,18,18,0,complete,18
seedance1.5,personality,en,4,18,18,0,complete,18
seedance1.5,personality,en,5,18,18,0,complete,18
seedance1.5,personality,en,6,18,18,0,complete,18
seedance1.5,personality,en,7,18,18,0,complete,18
seedance1.5,personality,en,8,18,18,0,complete,18
seedance1.5,personality,en,9,18,18,0,complete,18
seedance1.5,personality,en,10,18,18,0,complete,18
seedance1.5,personality,zh,1,18,18,0,complete,24
seedance1.5,personality,zh,2,18,18,0,complete,24
seedance1.5,personality,zh,3,18,18,0,complete,30
seedance1.5,personality,zh,4,18,18,0,complete,24
seedance1.5,personality,zh,5,18,18,0,complete,24
seedance1.5,personality,zh,6,18,18,0,complete,24
seedance1.5,personality,zh,7,18,18,0,complete,23
seedance1.5,personality,zh,8,18,18,0,complete,24
seedance1.5,personality,zh,9,18,18,0,complete,24
seedance1.5,personality,zh,10,18,18,0,complete,30
seedance2.0,social_distance,en,1,18,18,0,complete,27
seedance2.0,social_distance,en,2,18,18,0,complete,24
seedance2.0,social_distance,en,3,18,18,0,complete,24
seedance2.0,social_distance,en,4,18,18,0,complete,24
seedance2.0,social_distance,en,5,18,18,0,complete,24
seedance2.0,social_distance,en,6,18,18,0,complete,24
seedance2.0,social_distance,en,7,18,18,0,complete,24
seedance2.0,social_distance,en,8,18,18,0,complete,24
seedance2.0,social_distance,en,9,18,18,0,complete,24
seedance2.0,social_distance,en,10,18,18,0,complete,24
seedance2.0,social_distance,zh,1,18,18,0,complete,24
seedance2.0,social_distance,zh,2,18,18,0,complete,24
seedance2.0,social_distance,zh,3,18,18,0,complete,18
seedance2.0,social_distance,zh,4,18,18,0,complete,18
seedance2.0,social_distance,zh,5,18,18,0,complete,18
seedance2.0,social_distance,zh,6,18,18,0,complete,18
seedance2.0,social_distance,zh,7,18,18,0,complete,18
seedance2.0,social_distance,zh,8,18,18,0,complete,18
seedance2.0,social_distance,zh,9,18,18,0,complete,18
seedance2.0,social_distance,zh,10,18,18,0,complete,18
sora,illegal_behavior,en,1,18,18,0,complete,18
sora,illegal_behavior,en,2,18,18,0,complete,18
sora,illegal_behavior,en,3,18,18,0,complete,18
sora,illegal_behavior,en,4,18,18,0,complete,18
sora,illegal_behavior,en,5,18,18,0,complete,18
sora,illegal_behavior,en,6,18,18,0,complete,18
sora,illegal_behavior,en,7,18,18,0,complete,18
sora,illegal_behavior,en,8,18,18,0,complete,19
sora,illegal_behavior,en,9,18,13,5,partial,13
sora,illegal_behavior,en,10,18,18,0,complete,18
sora,illegal_behavior,zh,1,18,18,0,complete,18
sora,illegal_behavior,zh,2,18,18,0,complete,18
sora,illegal_behavior,zh,3,18,18,0,complete,18
sora,illegal_behavior,zh,4,18,18,0,complete,18
sora,illegal_behavior,zh,5,18,18,0,complete,18
sora,illegal_behavior,zh,6,18,18,0,complete,18
sora,illegal_behavior,zh,7,18,18,0,complete,18
sora,illegal_behavior,zh,8,18,18,0,complete,18
sora,illegal_behavior,zh,9,18,18,0,complete,18
sora,illegal_behavior,zh,10,18,18,0,complete,18
sora,occupation,en,1,18,0,18,missing,0
sora,occupation,en,2,18,18,0,complete,18
sora,occupation,en,3,18,18,0,complete,18
sora,occupation,en,4,18,18,0,complete,18
sora,occupation,en,5,18,18,0,complete,18
sora,occupation,en,6,18,18,0,complete,18
sora,occupation,en,7,18,18,0,complete,18
sora,occupation,en,8,18,18,0,complete,18
sora,occupation,en,9,18,18,0,complete,18
sora,occupation,en,10,18,14,4,partial,14
sora,occupation,zh,1,18,18,0,complete,18
sora,occupation,zh,2,18,18,0,complete,18
sora,occupation,zh,3,18,18,0,complete,18
sora,occupation,zh,4,18,18,0,complete,18
sora,occupation,zh,5,18,18,0,complete,18
sora,occupation,zh,6,18,18,0,complete,18
sora,occupation,zh,7,18,18,0,complete,18
sora,occupation,zh,8,18,18,0,complete,18
sora,occupation,zh,9,18,18,0,complete,18
sora,occupation,zh,10,18,18,0,complete,18
sora,personality,en,1,18,18,0,complete,18
sora,personality,en,2,18,18,0,complete,18
sora,personality,en,3,18,18,0,complete,18
sora,personality,en,4,18,18,0,complete,18
sora,personality,en,5,18,18,0,complete,18
sora,personality,en,6,18,18,0,complete,18
sora,personality,en,7,18,18,0,complete,18
sora,personality,en,8,18,18,0,complete,18
sora,personality,en,9,18,18,0,complete,18
sora,personality,en,10,18,18,0,complete,18
sora,personality,zh,1,18,18,0,complete,18
sora,personality,zh,2,18,18,0,complete,18
sora,personality,zh,3,18,18,0,complete,18
sora,personality,zh,4,18,18,0,complete,18
sora,personality,zh,5,18,18,0,complete,18
sora,personality,zh,6,18,18,0,complete,18
sora,personality,zh,7,18,18,0,complete,18
sora,personality,zh,8,18,18,0,complete,18
sora,personality,zh,9,18,18,0,complete,18
sora,personality,zh,10,18,18,0,complete,18
sora2,illegal_behavior,en,1,18,18,0,complete,18
sora2,illegal_behavior,en,2,18,18,0,complete,18
sora2,illegal_behavior,en,3,18,18,0,complete,21
sora2,illegal_behavior,en,4,18,18,0,complete,18
sora2,illegal_behavior,en,5,18,18,0,complete,18
sora2,illegal_behavior,en,6,18,18,0,complete,18
sora2,illegal_behavior,en,7,18,18,0,complete,18
sora2,illegal_behavior,en,8,18,18,0,complete,18
sora2,illegal_behavior,en,9,18,18,0,complete,18
sora2,illegal_behavior,en,10,18,18,0,complete,18
sora2,illegal_behavior,zh,1,18,18,0,complete,18
sora2,illegal_behavior,zh,2,18,18,0,complete,18
sora2,illegal_behavior,zh,3,18,18,0,complete,18
sora2,illegal_behavior,zh,4,18,18,0,complete,18
sora2,illegal_behavior,zh,5,18,18,0,complete,21
sora2,illegal_behavior,zh,6,18,18,0,complete,18
sora2,illegal_behavior,zh,7,18,18,0,complete,18
sora2,illegal_behavior,zh,8,18,18,0,complete,18
sora2,illegal_behavior,zh,9,18,18,0,complete,18
sora2,illegal_behavior,zh,10,18,18,0,complete,18
sora2,occupation,en,1,18,12,6,partial,12
sora2,occupation,en,2,18,18,0,complete,18
sora2,occupation,en,3,18,18,0,complete,18
sora2,occupation,en,4,18,18,0,complete,18
sora2,occupation,en,5,18,18,0,complete,18
sora2,occupation,en,6,18,18,0,complete,18
sora2,occupation,en,7,18,18,0,complete,18
sora2,occupation,en,8,18,18,0,complete,18
sora2,occupation,en,9,18,18,0,complete,18
sora2,occupation,en,10,18,18,0,complete,18
sora2,occupation,zh,1,18,12,6,partial,12
sora2,occupation,zh,2,18,18,0,complete,18
sora2,occupation,zh,3,18,18,0,complete,18
sora2,occupation,zh,4,18,18,0,complete,18
sora2,occupation,zh,5,18,18,0,complete,18
sora2,occupation,zh,6,18,18,0,complete,18
sora2,occupation,zh,7,18,18,0,complete,18
sora2,occupation,zh,8,18,18,0,complete,18
sora2,occupation,zh,9,18,18,0,complete,18
sora2,occupation,zh,10,18,18,0,complete,18
sora2,personality,en,1,18,18,0,complete,20
sora2,personality,en,2,18,18,0,complete,18
sora2,personality,en,3,18,18,0,complete,18
sora2,personality,en,4,18,18,0,complete,18
sora2,personality,en,5,18,18,0,complete,18
sora2,personality,en,6,18,18,0,complete,18
sora2,personality,en,7,18,18,0,complete,18
sora2,personality,en,8,18,18,0,complete,18
sora2,personality,en,9,18,18,0,complete,18
sora2,personality,en,10,18,18,0,complete,18
sora2,personality,zh,1,18,18,0,complete,18
sora2,personality,zh,2,18,18,0,complete,18
sora2,personality,zh,3,18,18,0,complete,18
sora2,personality,zh,4,18,18,0,complete,18
sora2,personality,zh,5,18,18,0,complete,18
sora2,personality,zh,6,18,18,0,complete,18
sora2,personality,zh,7,18,18,0,complete,18
sora2,personality,zh,8,18,18,0,complete,18
sora2,personality,zh,9,18,18,0,complete,18
sora2,personality,zh,10,18,18,0,complete,18
sora2,social_distance,en,1,18,18,0,complete,18
sora2,social_distance,en,2,18,18,0,complete,18
sora2,social_distance,en,3,18,18,0,complete,18
sora2,social_distance,en,4,18,18,0,complete,18
sora2,social_distance,en,5,18,18,0,complete,18
sora2,social_distance,en,6,18,18,0,complete,18
sora2,social_distance,en,7,18,18,0,complete,18
sora2,social_distance,en,8,18,18,0,complete,18
sora2,social_distance,en,9,18,18,0,complete,18
sora2,social_distance,en,10,18,18,0,complete,18
sora2,social_distance,zh,1,18,18,0,complete,21
sora2,social_distance,zh,2,18,18,0,complete,19
sora2,social_distance,zh,3,18,18,0,complete,18
sora2,social_distance,zh,4,18,18,0,complete,18
sora2,social_distance,zh,5,18,18,0,complete,18
sora2,social_distance,zh,6,18,18,0,complete,18
sora2,social_distance,zh,7,18,18,0,complete,18
