model,n_prompts,mean_SPD,std_SPD
Sora,31,-0.05,0.85
Sora2,31,-0.02,0.76
Wan,31,-0.18,0.64
Wan 2.6,30,-0.29,0.9
Seedance 1.5,31,-0.5,0.6
Genie 3,30,-0.1,0.75
