indicator,model,video,HND_white,actor_partner_gender_white,HND_black,actor_partner_gender_black
1公交站等车,Sora2,20260205_1637_01kgfj5rkhfkwb5ge5x3g1b7fq,0.5349,MF,1.1009,MM
1公交站等车,Sora2,20260205_1638_01kgfjqpskeh4bc2y9q8mqcrnn,0.2337,MF,0.6905,MM
1公交站等车,Sora2,20260205_1638_01kgfk61y1fac8anxpc6dejwhc,0.505,MF,0.6672,MM
1公交站等车,Sora2,20260205_1639_01kgfm3jz8ep7vvz6ax5c8vzdj,1.0684,MF,0.376,MM
1公交站等车,Sora2,20260207_1604_01kgs4rht6f7dtv7hxzgpc1stc,0.27,MF,0.868,MM
1公交站等车,Sora2,20260207_1604_01kgs461kxek9tydd0c8vz2pfn,0.322,MF,0.104,MM
1公交站等车,Sora2,20260207_1605_01kgs4rpbxeb19k7f6twwh0jej,1.22,MF,1.495,MM
1公交站等车,Sora2,20260207_1605_01kgs4ryxceeeb1reemp46tdcy,0.596,MF,1.087,MM
2路口等红灯,Sora2,20260207_1615_01kgswchcjfaw8f6sgp7psapj8,0.461,FF,0.158,FM
2路口等红灯,Sora2,20260207_1615_01kgswcp86fjxs394e28m4xrqr,0.166,FM,0.568,FM
2路口等红灯,Sora2,20260207_1615_01kgswcrk6etjra1p85cg9cb51,0.210,MF,0.459,MM
2路口等红灯,Sora2,20260207_1615_01kgswp4jee6fsdr2p7a6r14jj,0.575,FM,0.146,FF
2路口等红灯,Sora2,20260207_1615_01kgswpevzevgtb1h6mk81mvzj,0.247,FM,0.297,FM
2路口等红灯,Sora2,20260325_0041_01km4g0jy6ek192gy8vahx5jzt,0.067,MM,0.375,MF
2路口等红灯,Sora2,20260325_0057_01km3nj8y6fzwbj7yvje9kyyvx,0.450,MF,0.838,MM
3街边长椅,Sora2,20260207_1731_01kgvppecre578d5z8nt9ed6p3,0.561,MM,0.367,MF
3街边长椅,Sora2,20260207_1731_01kgvppf2tfhxvzae084jw4a72,0.122,MM,1.313,MM
3街边长椅,Sora2,20260207_1731_01kgvppjgff1jb1kqdks3s1fns,0.316,FM,0.400,FF
3街边长椅,Sora2,20260207_2137_01kgw4wy0se4yvzdepr6vtqkwc,0.521,MF,0.458,MM
3街边长椅,Sora2,20260207_2137_01kgw4x0zmfz0b9z7vg6y312k6,0.440,MF,0.491,MM
3街边长椅,Sora2,20260207_2137_01kgw4xb5yf1g9178f1yhspf38,0.249,MM,1.408,MF
4路过两对人,Sora2,20260213_0019_01kgxhkjarf5erp7b61jj1d8mp,0.156,MM,0.457,MM
4路过两对人,Sora2,20260213_0019_01kgxhkmsbet6scvfjte33e44m,0.365,MF,0.393,MM
4路过两对人,Sora2,20260213_0019_01kgxjrjt3envr2vt8y4rsqxzm,0.433,MM,0.575,MF
4路过两对人,Sora2,20260213_0019_01kgxkhg2pf6cv2rckjs3z1p59,0.491,FF,0.494,FF
4路过两对人,Sora2,20260213_0019_01kgxkhseafmabnpvws1wsy2q4,0.139,MM,0.306,MF
4路过两对人,Sora2,20260213_0019_01kgxmjeh0ej28tv02edj57z3d,0.452,MM,0.413,MM
5读信息牌,Sora2,20260213_0023_01kgxmyeh0f7mr5t37yptqhhxe,0.455,MM,0.312,MF
5读信息牌,Sora2,20260213_0023_01kgxmynsqfmzsvf868s5ne2mc,0.498,MM,0.306,MF
5读信息牌,Sora2,20260213_0023_01kh0xvj5mev4tb78cscnx8hdc,0.124,FM,0.375,FF
5读信息牌,Sora2,20260213_0023_01kh0xvme4ebkryfca8hbtrpsm,0.403,FF,0.807,FM
5读信息牌,Sora2,20260213_0023_01kh0xw3n2e2xvzx2npezx64s5,0.144,FM,0.344,FF
5读信息牌,Sora2,20260213_0023_01kh1ab55qe1svj654nj0z6tcz,0.115,FM,0.003,FF
6街角打电话,Sora2,20260213_0028_01kh1aha09fc9s7csjck0a5cwd,0.547,MM,0.671,MF
6街角打电话,Sora2,20260213_0028_01kh1ahh2ne6hvbapfk7d1719s,0.237,FM,0.576,FM
6街角打电话,Sora2,20260213_0028_01kh1ahh96fyaawcwdxehbwmxt,0.159,FM,0.929,FM
6街角打电话,Sora2,20260213_0028_01kh2cshybeedsmh0gmhyp5qm4,0.384,FM,0.339,FM
6街角打电话,Sora2,20260213_0029_01kh2csrpsexts5pje1033w2bp,0.503,MF,0.456,MM
6街角打电话,Sora2,20260213_0029_01kh2csxnxe2errvjh1pw4c2j5,1.121,FM,0.886,FF
7雨棚躲雨,Sora2,20260213_0031_01kh2mj0gmfekbz85nc8ew6efg,0.835,MM,0.609,MM
7雨棚躲雨,Sora2,20260213_0031_01kh2mp7eafwabw0wd94vwkc09,1.175,FM,0.919,FM
7雨棚躲雨,Sora2,20260213_0032_01kh2mph3kf7fazq1f2gse3ypq,1.701,FM,0.414,FM
